"","Option","NPI2 Threshold","NPI2 Flow Threshold","NPI Threshold","NPI Flow Threshold","Brisbane to Nth Pine Threshold","Brisbane to Nth Pine Flow Threshold","Maroochy to Baroon Threshold","Ewen Maddock to Baroon Threshold","EPI Threshold","EPI Flow Threshold","SPI Threshold","SPI Flow Threshold","PRW Threshold","Desalination 1/3 Production.Threshold","Desalination 2/3 Production Threshold","Desalination Full Production Threshold","Total Spill Volume (GL)","Minimum System Storage (GL)","Total Cost ($ million)"
"1",296,0.9466480956,0.6575297066,0.9226223541,0.9910804044,0.6598168546,0.0487186391,0.9684405758,0.7829741983,0.337639437,0.8178496313,0.6612512224,0.0015253655,0.8239544219,0.15216005,0.50643439,0.5538676907,0.173236728133263,0.968242166717928,0.102822389326115
"2",75,0.8350061217,0.8827175002,0.9081935138,0.3646400389,0.3440948122,0.0014298713,0.8914841428,0.7807794298,0.5776142478,0.3350435448,0.6867453001,0.0056719743,0.0021505716,0.1747825615,0.0353032,0.0184272552,0.888315780959162,0.652669529585873,0.955601178160856
"3",441,0.8775554855,0.6345448456,0.9385804914,0.997428649,0.3398899152,0.0253026932,0.7919131694,0.9792132122,0.409913063,0.7816033881,0.5994830471,0.0378298117,0.8474833654,0.8799770981,0.5318244464,0.3125250948,0.295612187336914,0.932578306692962,0.162746290151107
"4",442,0.8998828747,0.7329593484,0.8682295442,0.5626730085,0.3993184544,0.0001484614,0.7840384755,0.9893535891,0.5859452375,0.5627743725,0.2975928014,0.421120204,0.6001544851,0.2986873729,0.2122032252,0.1218452315,0.935781179897483,0.57327222286231,0.514161249635529
"5",659,0.8833755819,0.8165496966,0.9485821324,0.9991674348,0.3949854267,0.0003464202,0.9459330483,0.8916542142,0.4432280504,0.7758256832,0.5232400705,0.009173464,0.7756735824,0.1118185134,0.6235631435,0.2048275627,0.322199731188774,0.91054904250698,0.340871872456434
"6",12,0.886821265,0.9999963105,0.8757298641,0.9456802076,0.2988253959,0.5180613032,0.9396451182,0.8583475255,0.2578301091,0.7981109081,0.6660599937,0.6285248945,0.5142385597,0.0763170791,0.1197878894,0.0326193399,0.995478619554672,0.0925025796841246,0.707910642471123
"7",464,0.9898725608,0.9144942338,0.7797111626,0.9997092888,0.6637681975,0.5731232462,0.9174081064,0.9783738646,0.4490673621,0.7933647553,0.6806438471,0.8640557973,0.9961108892,0.1176587821,0.2107436611,0.0150781212,0.998541951376526,0.260503568264335,0.513846387800289
"8",448,0.9561354255,0.8155843724,0.9802213949,0.9998567233,0.5958787678,0.0049540247,0.977281673,0.8873259761,0.2757784347,0.3888647391,0.5481057545,0.0092274096,0.5106637727,0.1809298894,0.199378729,0.1206431338,0.758645808266351,0.748070335540632,0.853627112848893
"9",642,0.9659674835,0.6842384685,0.9814328741,0.4788391059,0.3500088156,0.000195897,0.866938468,0.7960065719,0.3646208389,0.5635695914,0.7899552433,0.7912377817,0.754418999,0.2536558218,0.1023979576,0.0311491854,0.941524896782739,0.511881607884493,0.646901391648408
"10",376,0.8593873055,0.7187804075,0.9344110627,0.9998624861,0.2259230544,0.0037132906,0.8890164801,0.864728785,0.4549518691,0.8594113315,0.4930245496,0.0176432891,0.9249968246,0.597288607,0.0304857437,0.1924886688,0.628889571064588,0.821559858890376,0.600212907158645
