"","Option","NPI2 Threshold","NPI2 Flow Threshold","NPI Threshold","NPI Flow Threshold","Brisbane to Nth Pine Threshold","Brisbane to Nth Pine Flow Threshold","Maroochy to Baroon Threshold","Ewen Maddock to Baroon Threshold","EPI Threshold","EPI Flow Threshold","SPI Threshold","SPI Flow Threshold","PRW Threshold","Desalination 1/3 Production.Threshold","Desalination 2/3 Production Threshold","Desalination Full Production Threshold"
"1",296,0.9466480956,0.6575297066,0.9226223541,0.9910804044,0.6598168546,0.0487186391,0.9684405758,0.7829741983,0.337639437,0.8178496313,0.6612512224,0.0015253655,0.8239544219,0.15216005,0.50643439,0.5538676907
"2",75,0.8350061217,0.8827175002,0.9081935138,0.3646400389,0.3440948122,0.0014298713,0.8914841428,0.7807794298,0.5776142478,0.3350435448,0.6867453001,0.0056719743,0.0021505716,0.1747825615,0.0353032,0.0184272552
"3",477,0.7986465621,0.8244196004,0.9592907073,0.8235137262,0.3165538275,0.0470481104,0.9259050844,0.9792132122,0.4059592287,0.7816033881,0.5994830471,0.1137031607,0.8455783301,0.8829141215,0.3661143036,0.2377901906
"4",391,0.7279055876,0.7602541412,0.8874820565,0.3863679613,0.2872006028,0.0062495034,0.9737221602,0.9461377167,0.7004241072,0.7944202832,0.5398933009,0.7575885651,0.7934567475,0.0683424464,0.129553763,0.0799962461
"5",659,0.8833755819,0.8165496966,0.9485821324,0.9991674348,0.3949854267,0.0003464202,0.9459330483,0.8916542142,0.4432280504,0.7758256832,0.5232400705,0.009173464,0.7756735824,0.1118185134,0.6235631435,0.2048275627
"6",356,0.7272324739,0.687832739,0.8912429795,0.9980607274,0.6616185554,0.525382859,0.9241641329,0.9476550849,0.5209920329,0.7134532899,0.6695166639,0.4648837015,0.6231043013,0.1028961489,0.0308023165,0.0589289807
"7",12,0.886821265,0.9999963105,0.8757298641,0.9456802076,0.2988253959,0.5180613032,0.9396451182,0.8583475255,0.2578301091,0.7981109081,0.6660599937,0.6285248945,0.5142385597,0.0763170791,0.1197878894,0.0326193399
"8",374,0.9484775822,0.8521476061,0.9992382589,0.8834976657,0.3681453114,0.0625016978,0.954427823,0.9816072195,0.0918761848,0.7788051998,0.6326567929,0.0090935074,0.8272111375,0.181541165,0.0967568463,0.0961783459
"9",519,0.8998828747,0.4372114094,0.9435687774,0.5626730085,0.4076954927,0.0108028382,0.9521389372,0.9633245301,0.304835552,0.4436037676,0.4645896425,0.4219395284,0.6020819442,0.3120959407,0.1148175295,0.0710063912
"10",511,0.9770957562,0.9144942338,0.9927681656,0.9983058944,0.5414482402,0.5003774657,0.8786748328,0.9992158641,0.5364197387,0.5878345015,0.6583282398,0.8507142804,0.9999407773,0.1806537628,0.2032688041,0.0055341077
