"","Option","Total Spill Volume (GL)","Minimum System Storage (GL)","Total Cost ($ million)"
"1",244,500.021443790282,428.247578603969,5502.28529795987
"2",219,339.182891443369,344.032028526182,5207.24685299425
"3",643,315.442746624316,304.970648793325,5340.15836195444
"4",432,417.595199261851,423.123668460109,5510.90139157958
"5",71,305.791696716468,159.001928002201,5276.76356222032
"6",348,426.098857323571,404.509355240889,5421.16627655569
"7",667,306.872343705604,266.24979060107,5458.50159831328
"8",603,306.927619351099,209.048722164052,5350.45540826351
"9",510,373.379723719747,378.830367008504,5318.23677916499
"10",139,317.740321731488,268.048627699182,5234.56237315352
